,text,source,page,chunk_id
0,i Draft National Artificial Intelligence Policy Government of Pakistan Ministry of Information Technology and Telecommunication ,/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,0,36d5a1ee7acb4c2d9f342df6305af307
1,"ii Acknowledgments The Government of Pakistan, Ministry of IT and Telecom , pays its gratitude to all the officials and consultants, particularly RSM Pakistan and GlowBug Technologies Pvt. Ltd. , facilitators, developers, and stakeholders who rigorously and relentlessly participated in the revi ew, drafting, harmonizing, and ratification of the National Artificial Intelligence Policy  , helping the Ministry with an all inclusive user centric, evidence based, forward looking , and agile policy framework for enabling Pakistan towards a digital economy and society.",/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,1,1343b44f087942ea9f96a3773d0700c2
2,"iii Table of Contents  Executive Summary ................................ ................................ ................................ ................................   Introduction and Context ................................ ................................ ................................ .......................  . Why Pakistan Needs AI Policy ................................ ................................ ................................ ........  . The State of AI in Pakistan ................................ ................................ ................................ ..............   Vision, Scope and Objectives ................................ ................................ ................................ .....................  . Vision ................................ ................................ ................................ ................................ .............. ",/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,2,9135ba629eb54c77809930c14c85a1cd
3,. Scope ................................ ................................ ................................ ................................ ..............  . Objectives ................................ ................................ ................................ ................................ .......  . Policy Drivers and Targets ................................ ................................ ................................ ..............  .. The Drivers ................................ ................................ ................................ .....................  .. The National AI Targets ................................ ................................ ................................ .   Policy Directives ................................ ................................ ................................ ................................ ..... ,/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,2,50a7cb0ac02a46ceb0a8b90967b8d86a
4,. 1st Pillar AI Market Enablement ................................ ................................ ................................ .... .. National Artificial Intelligence Fund NAIF ................................ ................................ ...  .. Center of Excellence in AI and Allied Technologies CoE AI ................................ ............  .. Catalyzing Social Development through AI by National Initiatives ...............................  .. Data and Computational Infrastructure ................................ ................................ ........  . 2nd Pillar Enabling AI through Awareness and Readiness ................................ ................................ . .. Public Awareness of AI ................................ ................................ ................................ .. ,/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,2,5ac6096f0f9644d8b8d2ec5612b0e206
5,".. Public Awareness of AI ................................ ................................ ................................ ..  .. Research and Development ................................ ................................ ........................  .. Algorithms, Data Science and AI in Basic Education ................................ .......................  .. Skill Development of Marginalized Women and PWDs ................................ ..................  . 3rd Pillar Building Progressive and Trusted Environment ................................ ..............................  .. Regulating to Accelerate Socio Economic Adoption ................................ ...................  .. Generative AI ................................ ................................ ................................ ............... ",/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,2,4b85764aa9564de5ba4525696890107c
6,.. Generative AI ................................ ................................ ................................ ...............  .. Sandboxing for AI Deployment ................................ ................................ ....................  .. Supporting International Collaboration ................................ ................................ ...... . 4th Pillar Transformation and Evolution ................................ ................................ ........................  .. Role of National IT Boards in Transformation ................................ .............................  .. Industrial Transformation ................................ ................................ ............................  .. PublicPrivate Sector Evolution ................................ ................................ ................... ,/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,2,925c35f765974818875b25db6afb16e1
7,.. PublicPrivate Sector Evolution ................................ ................................ ...................   Policy Implementation and Review ................................ ................................ ................................ .........  . SteeringManagement Committee ................................ ................................ .............................  . Working Groups ................................ ................................ ................................ ..........................  . Policy Implementation Cell ................................ ................................ ................................ .........  . Review Procedure and Timeline ................................ ................................ ................................ ..... ,/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,2,2d6a85c457084ee69ab3fd5c8cabd44d
8,"iv  Definitions ................................ ................................ ................................ ................................ ............   Acronyms ................................ ................................ ................................ ................................ ..............   Annex I  Sectoral Survey Regarding AI Adoption, Challenges and Opportunities in Pakistan ............  . Sectoral identification ................................ ................................ ................................ .................  . Survey Statistics ................................ ................................ ................................ ..........................  . Market Challenges ................................ ................................ ................................ ...................... ",/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,3,79a3a96c47d94bf6af42b05f9f232f81
9,. Market Challenges ................................ ................................ ................................ ......................  ... G1  Awareness and Adaptation Challenges ................................ ...............................  ... G2  Data Standardization and Accessibility ................................ ...............................  ... G3  Computational Infrastructure Situation and Needs ................................ ............  ... G4  Ethical Challenges ................................ ................................ ................................   References ................................ ................................ ................................ ................................ ............ ,/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,3,93a8fc0a3fe74cd48e40bd433ec60bbf
10," Foreword Through its continued efforts toward the early realization of the Digital Pakistan vision of the Government of Pakistan, the Ministry of IT and Telecom is committed to providing its people with timely and equal access to opportunities by stimulating a culture of innovation through an overarching de velopmental agenda orchestrated to embrace cutting edge technologies such as Artificial Intelligence efficiently and responsibly. In this regard, the Artificial Intelligence AI Policy is a pivotal milestone for transforming Pakistan into a knowledge based economy as it spells out a national strategy to establish an ecosystem necessary for AI adoption by harnessing an agile framework for addressing different aspects of unique user journeys encompassing different market horizontals and industry verticals by ensuring responsible use of AI. Furthermore, the policy aims to go beyond the meagre approach of adopting technology to fundamentally",/Users/eryclisrodrigues/Documents/Eryclis - docs/Research/Projects/AI Governance - Topic Modeling/Data/Raw Data Sampling/National Strategy/[Pakistan] National AI Policy Consultation Draft V1.pdf,4,b4a7f037f2c540efbf9d77ad3c111b65
